SEXE;AGE;ANNEE;POP
F;36;2016;419302
F;37;2016;411018
F;38;2016;413077
F;39;2016;403662
F;40;2016;415413
F;41;2016;436330
F;42;2016;462002
F;43;2016;471497
F;44;2016;468526
F;45;2016;459327
F;46;2016;454212
F;47;2016;453532
F;48;2016;449111
F;49;2016;460251
F;50;2016;460839
F;51;2016;468565
F;52;2016;463372
F;53;2016;447681
F;54;2016;448500
F;55;2016;445932
F;56;2016;444410
F;57;2016;434772
F;58;2016;434791
F;59;2016;431826
F;60;2016;427864
F;61;2016;426363
F;62;2016;417376
F;63;2016;424429
F;64;2016;413010
F;65;2016;428099
F;66;2016;421069
F;67;2016;417078
F;68;2016;408180
F;69;2016;388429
F;70;2016;293750
F;71;2016;287427
F;72;2016;278268
F;73;2016;257675
F;74;2016;230771
F;75;2016;241468
F;76;2016;252440
F;77;2016;248724
F;78;2016;243994
F;79;2016;243149
F;80;2016;237441
F;81;2016;237348
F;82;2016;223725
F;83;2016;225009
F;84;2016;210735
F;85;2016;202354
F;86;2016;179802
F;87;2016;164907
F;88;2016;149064
F;89;2016;134508
F;90;2016;119746
F;91;2016;101514
F;92;2016;86418
F;93;2016;72774
F;94;2016;58608
F;95;2016;46511
F;96;2016;21205
F;97;2016;13698
F;98;2016;9468
F;99;2016;24150
F;100;2016;0
F;101;2016;0
F;102;2016;0
F;103;2016;0
F;104;2016;0
F;105;2016;0
F;106;2016;0
F;107;2016;0
F;108;2016;0
M;0;2017;394975
M;1;2017;393765
M;2;2017;405468
M;3;2017;406582
M;4;2017;410397
M;5;2017;420497
M;6;2017;431779
M;7;2017;430972
M;8;2017;433405
M;9;2017;430653
M;10;2017;437882
M;11;2017;428861
M;12;2017;426488
M;13;2017;424466
M;14;2017;427738
M;15;2017;434280
M;16;2017;444226
M;17;2017;425332
M;18;2017;418510
M;19;2017;406171
M;20;2017;400627
M;21;2017;385668
M;22;2017;367171
M;23;2017;360240
M;24;2017;377956
M;25;2017;380797
M;26;2017;388774
M;27;2017;386762
M;28;2017;390974
M;29;2017;392791
M;30;2017;398455
M;31;2017;399195
M;32;2017;396212
M;33;2017;393542
M;34;2017;419048
M;35;2017;422279
M;36;2017;430664
M;37;2017;407988
M;38;2017;402048
M;39;2017;407689
M;40;2017;397113
M;41;2017;408400
M;42;2017;432859
M;43;2017;454857
M;44;2017;467230
M;45;2017;463325
M;46;2017;453833
M;47;2017;445119
M;48;2017;440249
M;49;2017;436964
M;50;2017;446949
M;51;2017;448270
M;52;2017;451109
M;53;2017;446052
M;54;2017;429684
M;55;2017;427555
M;56;2017;425308
M;57;2017;419164
M;58;2017;408897
M;59;2017;404765
M;60;2017;398682
M;61;2017;390443
M;62;2017;390174
M;63;2017;377710
M;64;2017;382132
M;65;2017;370798
M;66;2017;383948
M;67;2017;372554
M;68;2017;371208
M;69;2017;360687
M;70;2017;339255
M;71;2017;253654
M;72;2017;244225
M;73;2017;234650
M;74;2017;215921
M;75;2017;188308
M;76;2017;191728
M;77;2017;194674
M;78;2017;186576
